genome.genome_id	genome.contigs	genome.genome_length	feature.accession	feature.start	feature.end	feature.strand	feature.patric_id	feature.product
1038860.3	218	9901641	AXAP01000034	70595	71272	+	fig|1038860.3.peg.5334	DnaA inactivator Hda (shorter homolog of DnaA)
1038860.3	218	9901641	AXAP01000004	221196	222680	+	fig|1038860.3.peg.1315	Chromosomal replication initiator protein DnaA
1038860.3	218	9901641	AXAP01000039	44120	46327	+	fig|1038860.3.peg.5770	Helicase PriA essential for oriC/DnaA-independent DNA replication
1071679.4	160	6704301	JFHE01000004	68242	69030	+	fig|1071679.4.peg.1324	DnaA inactivator Hda (shorter homolog of DnaA)
1071679.4	160	6704301	JFHE01000030	1292	1879	-	fig|1071679.4.peg.4838	DnaA initiator-associating protein DiaA
1071679.4	160	6704301	JFHE01000005	117014	119248	+	fig|1071679.4.peg.1726	Helicase PriA essential for oriC/DnaA-independent DNA replication
1071679.4	160	6704301	JFHE01000005	21445	23022	+	fig|1071679.4.peg.1631	Chromosomal replication initiator protein DnaA
1073376.3	41	3051582	AZJE01000007	85550	87775	+	fig|1073376.3.peg.612	Helicase PriA essential for oriC/DnaA-independent DNA replication
1073376.3	41	3051582	AZJE01000011	49329	50699	+	fig|1073376.3.peg.907	Chromosomal replication initiator protein DnaA
1684141.3	13	4771590	LIGF01000001	405856	408273	-	fig|1684141.3.peg.435	Helicase PriA essential for oriC/DnaA-independent DNA replication
1684141.3	13	4771590	LIGF01000001	2318823	2320175	-	fig|1684141.3.peg.2558	Chromosomal replication initiator protein DnaA
1121377.3	57	4448688	ARLS01000038	70738	72180	+	fig|1121377.3.peg.942	Chromosomal replication initiator protein DnaA
1121377.3	57	4448688	ARLS01000043	70135	72495	-	fig|1121377.3.peg.1472	Helicase PriA essential for oriC/DnaA-independent DNA replication
1122978.3	48	2666475	AUFP01000012	26064	27473	-	fig|1122978.3.peg.1799	Chromosomal replication initiator protein DnaA
1122978.3	48	2666475	AUFP01000027	7017	9287	-	fig|1122978.3.peg.2138	Helicase PriA essential for oriC/DnaA-independent DNA replication
1122978.3	48	2666475	AUFP01000020	17233	18636	-	fig|1122978.3.peg.2005	Chromosomal replication initiator protein DnaA
1123516.3	3	2356486	ARAR01000003	1648411	1649133	-	fig|1123516.3.peg.2183	DnaA inactivator Hda (shorter homolog of DnaA)
1123516.3	3	2356486	ARAR01000003	776213	778477	+	fig|1123516.3.peg.1388	Helicase PriA essential for oriC/DnaA-independent DNA replication
1123516.3	3	2356486	ARAR01000003	425400	426836	-	fig|1123516.3.peg.1036	Chromosomal replication initiator protein DnaA
1157490.3	108	4874793	JMIR01000030	42377	44830	-	fig|1157490.3.peg.3545	Helicase PriA essential for oriC/DnaA-independent DNA replication
1157490.3	108	4874793	JMIR01000043	23979	25340	+	fig|1157490.3.peg.4278	Chromosomal replication initiator protein DnaA
1203190.3	57	2555337	CAJP01000031	63894	65918	+	fig|1203190.3.peg.1735	Helicase PriA essential for oriC/DnaA-independent DNA replication
1203190.3	57	2555337	CAJP01000011	4797	6341	+	fig|1203190.3.peg.713	Chromosomal replication initiator protein DnaA
1736501.3	6	4212502	LMIV01000002	933108	935270	-	fig|1736501.3.peg.3088	Helicase PriA essential for oriC/DnaA-independent DNA replication
1736501.3	6	4212502	LMIV01000001	1072852	1074186	+	fig|1736501.3.peg.1050	Chromosomal replication initiator protein DnaA
1266997.3	17	713526	AXZE01000009	40885	42081	-	fig|1266997.3.peg.101	Chromosomal replication initiator protein DnaA
1276920.7	20	4319900	AOCK01000001	84860	86272	-	fig|1276920.7.peg.79	Chromosomal replication initiator protein DnaA
1276920.7	20	4319900	AOCK01000009	90216	92300	-	fig|1276920.7.peg.2993	Helicase PriA essential for oriC/DnaA-independent DNA replication
1938.3	329	10626331	LFNT01000012	124164	126071	-	fig|1938.3.peg.4250	Chromosomal replication initiator protein DnaA
1938.3	329	10626331	LFNT01000010	24013	26277	-	fig|1938.3.peg.2356	Helicase PriA essential for oriC/DnaA-independent DNA replication
1423778.4	32	1832229	AZFE01000031	659829	661145	-	fig|1423778.4.peg.1340	Chromosomal replication initiator protein DnaA
1423778.4	32	1832229	AZFE01000032	359599	362019	-	fig|1423778.4.peg.1752	Helicase PriA essential for oriC/DnaA-independent DNA replication
1640685.3	7	2712841	CVRN01000007	475038	476366	-	fig|1640685.3.peg.1931	Chromosomal replication initiator protein DnaA
1640685.3	7	2712841	CVRN01000007	393616	396018	-	fig|1640685.3.peg.1853	Helicase PriA essential for oriC/DnaA-independent DNA replication
290318.6	1	1966858	NC_009337	19	1464	+	fig|290318.6.peg.1	Chromosomal replication initiator protein DnaA
290318.6	1	1966858	NC_009337	1072526	1074958	+	fig|290318.6.peg.1006	Helicase PriA essential for oriC/DnaA-independent DNA replication
331636.7	2	1179220	CP002586	966691	968940	+	fig|331636.7.peg.863	Helicase PriA essential for oriC/DnaA-independent DNA replication
331636.7	2	1179220	CP002586	535152	536534	+	fig|331636.7.peg.498	Chromosomal replication initiator protein DnaA
331636.7	2	1179220	CP002586	419038	420390	-	fig|331636.7.peg.386	Chromosomal replication initiator protein DnaA
361183.4	1	2786256	CP012669	1604875	1607040	+	fig|361183.4.peg.1624	Helicase PriA essential for oriC/DnaA-independent DNA replication
361183.4	1	2786256	CP012669	230265	231734	-	fig|361183.4.peg.240	Chromosomal replication initiator protein DnaA
407976.7	4	5358884	NC_011663	2974155	2974865	-	fig|407976.7.peg.2584	DnaA inactivator Hda (shorter homolog of DnaA)
407976.7	4	5358884	NC_011663	77	1465	+	fig|407976.7.peg.1	Chromosomal replication initiator protein DnaA
407976.7	4	5358884	NC_011663	568150	570345	-	fig|407976.7.peg.510	Helicase PriA essential for oriC/DnaA-independent DNA replication
407976.7	4	5358884	NC_011663	4753638	4754231	+	fig|407976.7.peg.4130	DnaA initiator-associating protein DiaA
204669.11	1	5650368	NC_008009	33	1418	+	fig|204669.11.peg.1	Chromosomal replication initiator protein DnaA
525367.9	28	2593994	NZ_GG692933	714986	717385	+	fig|525367.9.peg.1074	Helicase PriA essential for oriC/DnaA-independent DNA replication
525367.9	28	2593994	NZ_GG692934	157051	158388	+	fig|525367.9.peg.1939	Chromosomal replication initiator protein DnaA
261317.3	1	444925	NC_015662	5763	7112	-	fig|261317.3.peg.4	Chromosomal replication initiator protein DnaA
272627.4	3880	9211536	NZ_AAAP01003779	1881	2576	-	fig|272627.4.peg.5823	DnaA inactivator Hda (shorter homolog of DnaA)
272627.4	3880	9211536	NZ_AAAP01001840	65	817	+	fig|272627.4.peg.1536	Helicase PriA essential for oriC/DnaA-independent DNA replication
272627.4	3880	9211536	NZ_AAAP01003832	20272	21132	+	fig|272627.4.peg.6758	Chromosomal replication initiator protein DnaA
272627.4	3880	9211536	NZ_AAAP01003834	6181	8382	+	fig|272627.4.peg.6788	Helicase PriA essential for oriC/DnaA-independent DNA replication
272627.4	3880	9211536	NZ_AAAP01003832	21089	21637	+	fig|272627.4.peg.6759	Chromosomal replication initiator protein DnaA
292415.6	1	2909809	NC_007404	245480	246133	+	fig|292415.6.peg.225	DnaA inactivator Hda (shorter homolog of DnaA)
292415.6	1	2909809	NC_007404	167	1510	+	fig|292415.6.peg.1	Chromosomal replication initiator protein DnaA
292415.6	1	2909809	NC_007404	113626	114219	-	fig|292415.6.peg.107	DnaA initiator-associating protein DiaA
292415.6	1	2909809	NC_007404	2861158	2863317	+	fig|292415.6.peg.2767	Helicase PriA essential for oriC/DnaA-independent DNA replication
348824.6	4	7038809	HG916852	3877946	3880162	-	fig|348824.6.peg.4190	Helicase PriA essential for oriC/DnaA-independent DNA replication
348824.6	4	7038809	HG916852	427463	428908	+	fig|348824.6.peg.466	Chromosomal replication initiator protein DnaA
348824.6	4	7038809	HG916852	1426745	1427458	+	fig|348824.6.peg.1552	Chromosomal replication initiator protein DnaA
358.67	4	5668655	CP011246	1084805	1085533	+	fig|358.67.peg.1108	DnaA inactivator Hda (shorter homolog of DnaA)
358.67	4	5668655	CP011246	2601768	2604059	-	fig|358.67.peg.2627	Helicase PriA essential for oriC/DnaA-independent DNA replication
358.67	4	5668655	CP011246	313745	315334	+	fig|358.67.peg.310	Chromosomal replication initiator protein DnaA
381.20	190	6815839	AYWO01000029	17860	18564	+	fig|381.20.peg.5680	DnaA inactivator Hda (shorter homolog of DnaA)
381.20	190	6815839	AYWO01000091	280	639	-	fig|381.20.peg.6987	Chromosomal replication initiator protein DnaA
381.20	190	6815839	AYWO01000004	124996	126540	+	fig|381.20.peg.1587	Chromosomal replication initiator protein DnaA
381.20	190	6815839	AYWO01000040	22217	24400	-	fig|381.20.peg.6240	Helicase PriA essential for oriC/DnaA-independent DNA replication
398579.7	1	5174581	NC_009901	2392797	2393507	+	fig|398579.7.peg.2053	DnaA inactivator Hda (shorter homolog of DnaA)
398579.7	1	5174581	NC_009901	4592443	4594638	+	fig|398579.7.peg.3943	Helicase PriA essential for oriC/DnaA-independent DNA replication
398579.7	1	5174581	NC_009901	223	1608	+	fig|398579.7.peg.1	Chromosomal replication initiator protein DnaA
398579.7	1	5174581	NC_009901	279330	279923	-	fig|398579.7.peg.259	DnaA initiator-associating protein DiaA
398767.5	2	3994874	NC_010814	2320726	2321415	+	fig|398767.5.peg.2113	DnaA inactivator Hda (shorter homolog of DnaA)
398767.5	2	3994874	NC_010814	3020666	3022744	+	fig|398767.5.peg.2751	Helicase PriA essential for oriC/DnaA-independent DNA replication
398767.5	2	3994874	NC_010814	261	1640	+	fig|398767.5.peg.1	Chromosomal replication initiator protein DnaA
44060.3	195	5850061	JODL01000040	7073	8836	+	fig|44060.3.peg.4987	Chromosomal replication initiator protein DnaA
44060.3	195	5850061	JODL01000006	182881	185043	+	fig|44060.3.peg.1717	Helicase PriA essential for oriC/DnaA-independent DNA replication
537006.5	106	4787097	NZ_DS996454	170680	173139	-	fig|537006.5.peg.2828	Helicase PriA essential for oriC/DnaA-independent DNA replication
537006.5	106	4787097	NZ_DS996456	402776	404164	-	fig|537006.5.peg.3256	Chromosomal replication initiator protein DnaA
553171.3	121	2424432	NZ_ADFO01000027	11859	13262	-	fig|553171.3.peg.343	Chromosomal replication initiator protein DnaA
553171.3	121	2424432	NZ_ADFO01000083	18	2315	-	fig|553171.3.peg.1087	Helicase PriA essential for oriC/DnaA-independent DNA replication
575540.3	2	5529304	NC_014962	3896966	3899410	-	fig|575540.3.peg.3482	Helicase PriA essential for oriC/DnaA-independent DNA replication
575540.3	2	5529304	NC_014962	202	1665	+	fig|575540.3.peg.44	Chromosomal replication initiator protein DnaA
575540.3	2	5529304	NC_014962	5033512	5034831	-	fig|575540.3.peg.4394	Chromosomal replication initiator protein DnaA-like protein
596152.3	34	4587319	AHMC01000024	18434	19795	-	fig|596152.3.peg.3193	Chromosomal replication initiator protein DnaA
596152.3	34	4587319	AHMC01000005	32875	34215	-	fig|596152.3.peg.420	Chromosomal replication initiator protein DnaA
596152.3	34	4587319	AHMC01000020	82481	84877	-	fig|596152.3.peg.2173	Helicase PriA essential for oriC/DnaA-independent DNA replication
883096.3	43	2309984	AGYA01000026	17917	19434	-	fig|883096.3.peg.1524	Chromosomal replication initiator protein DnaA
883096.3	43	2309984	AGYA01000033	44094	46505	-	fig|883096.3.peg.2009	Helicase PriA essential for oriC/DnaA-independent DNA replication
885272.3	4	1675634	AGRU01000004	147775	149547	-	fig|885272.3.peg.980	Helicase PriA essential for oriC/DnaA-independent DNA replication
885272.3	4	1675634	AGRU01000001	176	1507	+	fig|885272.3.peg.1	Chromosomal replication initiator protein DnaA
891391.3	3	2097766	NC_015214	1436342	1438741	-	fig|891391.3.peg.1452	Helicase PriA essential for oriC/DnaA-independent DNA replication
891391.3	3	2097766	NC_015214	51	1376	+	fig|891391.3.peg.6	Chromosomal replication initiator protein DnaA
95607.3	802	5516813	BADD01000614	22560	23207	+	fig|95607.3.peg.4066	DnaA inactivator Hda (shorter homolog of DnaA)
95607.3	802	5516813	BADD01000597	54	422	+	fig|95607.3.peg.3937	Helicase PriA essential for oriC/DnaA-independent DNA replication
95607.3	802	5516813	BADD01000210	12221	13192	-	fig|95607.3.peg.1351	Chromosomal replication initiator protein DnaA
95607.3	802	5516813	BADD01000596	6726	8384	+	fig|95607.3.peg.3935	Helicase PriA essential for oriC/DnaA-independent DNA replication
95607.3	802	5516813	BADD01000596	6221	6763	+	fig|95607.3.peg.3934	Helicase PriA essential for oriC/DnaA-independent DNA replication
652017.6	42	3040130	JEMO01000015	121077	122753	-	fig|652017.6.peg.1757	Chromosomal replication initiator protein DnaA
652017.6	42	3040130	JEMO01000016	60071	62089	+	fig|652017.6.peg.1902	Helicase PriA essential for oriC/DnaA-independent DNA replication
657319.3	1	2943413	FP929044	980208	982682	+	fig|657319.3.peg.1257	Helicase PriA essential for oriC/DnaA-independent DNA replication
657319.3	1	2943413	FP929044	2716362	2717765	-	fig|657319.3.peg.361	Chromosomal replication initiator protein DnaA
1112217.3	53	5100236	AHBD01000002	294238	294942	-	fig|1112217.3.peg.889	DnaA inactivator Hda (shorter homolog of DnaA)
1112217.3	53	5100236	AHBD01000003	482217	483686	+	fig|1112217.3.peg.1697	Chromosomal replication initiator protein DnaA
1112217.3	53	5100236	AHBD01000008	125308	127521	-	fig|1112217.3.peg.3172	Helicase PriA essential for oriC/DnaA-independent DNA replication
1112217.3	53	5100236	AHBD01000011	71358	71951	+	fig|1112217.3.peg.3635	DnaA initiator-associating protein DiaA
1120965.3	24	4152414	AUBV01000010	8808	11330	-	fig|1120965.3.peg.2950	Helicase PriA essential for oriC/DnaA-independent DNA replication
1120965.3	24	4152414	AUBV01000005	252774	254189	-	fig|1120965.3.peg.1636	Chromosomal replication initiator protein DnaA
1120980.3	159	2761653	JQKH01000052	7035	7712	-	fig|1120980.3.peg.2271	DnaA inactivator Hda (shorter homolog of DnaA)
1120980.3	159	2761653	JQKH01000006	5461	6054	-	fig|1120980.3.peg.551	DnaA initiator-associating protein DiaA
1120980.3	159	2761653	JQKH01000049	12941	14824	+	fig|1120980.3.peg.2225	Chromosomal replication initiator protein DnaA
1120980.3	159	2761653	JQKH01000066	2210	4369	+	fig|1120980.3.peg.2526	Helicase PriA essential for oriC/DnaA-independent DNA replication
1121099.3	72	2634691	AQWS01000008	40541	41956	+	fig|1121099.3.peg.701	Chromosomal replication initiator protein DnaA
1121099.3	72	2634691	AQWS01000020	21502	23961	-	fig|1121099.3.peg.1444	Helicase PriA essential for oriC/DnaA-independent DNA replication
1122239.3	32	3113993	AULS01000001	61155	63152	+	fig|1122239.3.peg.59	Helicase PriA essential for oriC/DnaA-independent DNA replication
1122239.3	32	3113993	AULS01000018	43530	44936	+	fig|1122239.3.peg.2568	Chromosomal replication initiator protein DnaA
1122964.4	38	3669521	AULI01000005	99196	101607	+	fig|1122964.4.peg.1285	Helicase PriA essential for oriC/DnaA-independent DNA replication
1122964.4	38	3669521	AULI01000001	476087	477445	+	fig|1122964.4.peg.440	Chromosomal replication initiator protein DnaA
1123226.3	58	4698338	ARJR01000057	52524	55097	-	fig|1123226.3.peg.3322	Helicase PriA essential for oriC/DnaA-independent DNA replication
1123226.3	58	4698338	ARJR01000050	9850	11205	-	fig|1123226.3.peg.2036	Chromosomal replication initiator protein DnaA
1131291.3	142	1394723	ARAT01000142	63405	64004	-	fig|1131291.3.peg.1373	DnaA initiator-associating protein DiaA
696747.3	1	6788435	AP011615	691360	692721	+	fig|696747.3.peg.776	Chromosomal replication initiator protein DnaA
696747.3	1	6788435	AP011615	201188	203683	-	fig|696747.3.peg.223	Helicase PriA essential for oriC/DnaA-independent DNA replication
717608.3	1	3769775	FP929037	585278	586648	+	fig|717608.3.peg.2098	Chromosomal replication initiator protein DnaA
717608.3	1	3769775	FP929037	2580194	2582617	-	fig|717608.3.peg.738	Helicase PriA essential for oriC/DnaA-independent DNA replication
1220583.3	78	5092029	BANR01000005	202664	204595	+	fig|1220583.3.peg.1736	Helicase PriA essential for oriC/DnaA-independent DNA replication
1220583.3	78	5092029	BANR01000015	93038	94657	-	fig|1220583.3.peg.3058	Chromosomal replication initiator protein DnaA
758847.3	107	3882646	ADOR01000016	70890	72893	+	fig|758847.3.peg.2290	Helicase PriA essential for oriC/DnaA-independent DNA replication
758847.3	107	3882646	ADOR01000030	34807	36096	-	fig|758847.3.peg.3214	Chromosomal replication initiator protein DnaA
868129.3	14	2520138	AJVZ01000002	30110	31513	+	fig|868129.3.peg.107	Chromosomal replication initiator protein DnaA
868129.3	14	2520138	AJVZ01000012	606457	608754	-	fig|868129.3.peg.1327	Helicase PriA essential for oriC/DnaA-independent DNA replication
1280673.3	45	4145696	AUJJ01000003	183028	185292	-	fig|1280673.3.peg.765	Helicase PriA essential for oriC/DnaA-independent DNA replication
1280673.3	45	4145696	AUJJ01000021	60306	61697	+	fig|1280673.3.peg.2800	Chromosomal replication initiator protein DnaA
941824.4	162	2445542	CAVN010000092	21638	24034	+	fig|941824.4.peg.782	Helicase PriA essential for oriC/DnaA-independent DNA replication
941824.4	162	2445542	CAVN010000110	8104	9480	-	fig|941824.4.peg.2033	Chromosomal replication initiator protein DnaA
946235.3	119	3539140	CAER01000027	9970	11316	+	fig|946235.3.peg.1079	Chromosomal replication initiator protein DnaA
946235.3	119	3539140	CAER01000034	122875	125283	-	fig|946235.3.peg.1372	Helicase PriA essential for oriC/DnaA-independent DNA replication
1300348.6	2	3087076	LGBR01000001	2526108	2528579	-	fig|1300348.6.peg.2269	Helicase PriA essential for oriC/DnaA-independent DNA replication
1300348.6	2	3087076	LGBR01000001	335304	336731	-	fig|1300348.6.peg.267	Chromosomal replication initiator protein DnaA
1001240.4	226	4356826	JPXF01000008	28665	30083	-	fig|1001240.4.peg.669	Chromosomal replication initiator protein DnaA
1001240.4	226	4356826	JPXF01000017	3147	5192	-	fig|1001240.4.peg.1148	Helicase PriA essential for oriC/DnaA-independent DNA replication
1003181.3	2481	12912102	JSZA01001724	5873	6460	-	fig|1003181.3.peg.9737	DnaA initiator-associating protein DiaA
1003181.3	2481	12912102	JSZA01001131	6685	8868	-	fig|1003181.3.peg.5016	Helicase PriA essential for oriC/DnaA-independent DNA replication
104268.3	63	3419821	LDOD01000003	36170	38614	+	fig|104268.3.peg.1758	Helicase PriA essential for oriC/DnaA-independent DNA replication
104268.3	63	3419821	LDOD01000005	28890	30314	-	fig|104268.3.peg.2309	Chromosomal replication initiator protein DnaA
1076934.5	1	1975547	CP003025	199	1554	+	fig|1076934.5.peg.1	Chromosomal replication initiator protein DnaA
1076934.5	1	1975547	CP003025	432753	435143	+	fig|1076934.5.peg.425	Helicase PriA essential for oriC/DnaA-independent DNA replication
1117317.3	73	5281621	AHCC01000030	20238	20942	+	fig|1117317.3.peg.3967	DnaA inactivator Hda (shorter homolog of DnaA)
1117317.3	73	5281621	AHCC01000021	64218	64805	-	fig|1117317.3.peg.3328	DnaA initiator-associating protein DiaA
1117317.3	73	5281621	AHCC01000022	28872	30272	-	fig|1117317.3.peg.3394	Chromosomal replication initiator protein DnaA
1117317.3	73	5281621	AHCC01000001	314373	316544	+	fig|1117317.3.peg.261	Helicase PriA essential for oriC/DnaA-independent DNA replication
1121378.3	116	5002538	ARKH01000092	19539	20918	+	fig|1121378.3.peg.2074	Chromosomal replication initiator protein DnaA
1121378.3	116	5002538	ARKH01000056	18384	21101	+	fig|1121378.3.peg.547	Helicase PriA essential for oriC/DnaA-independent DNA replication
1121482.3	16	7374547	ARNI01000010	838418	839710	-	fig|1121482.3.peg.4437	Chromosomal replication initiator protein DnaA
1121482.3	16	7374547	ARNI01000012	473454	475949	-	fig|1121482.3.peg.5136	Helicase PriA essential for oriC/DnaA-independent DNA replication
1121877.3	112	2927070	JQKF01000017	20520	21920	-	fig|1121877.3.peg.1582	Chromosomal replication initiator protein DnaA
1158291.3	81	4203216	ARIS01000078	152154	153725	+	fig|1158291.3.peg.2905	Chromosomal replication initiator protein DnaA
1158291.3	81	4203216	ARIS01000063	42318	44672	+	fig|1158291.3.peg.1258	Helicase PriA essential for oriC/DnaA-independent DNA replication
1158291.3	81	4203216	ARIS01000074	36519	37118	+	fig|1158291.3.peg.2196	DnaA initiator-associating protein DiaA
1158318.3	4	1653625	ATXC01000001	1402025	1404382	-	fig|1158318.3.peg.1443	Helicase PriA essential for oriC/DnaA-independent DNA replication
1158318.3	4	1653625	ATXC01000001	1392153	1393508	+	fig|1158318.3.peg.1433	Chromosomal replication initiator protein DnaA
1211815.3	78	3864252	CBYP010000004	12365	13039	-	fig|1211815.3.peg.86	Helicase PriA essential for oriC/DnaA-independent DNA replication
1211815.3	78	3864252	CBYP010000055	15496	17256	+	fig|1211815.3.peg.2721	Chromosomal replication initiator protein DnaA
1225647.3	101	4709832	LIKT01000011	9977	10696	+	fig|1225647.3.peg.2356	DnaA inactivator Hda (shorter homolog of DnaA)
1225647.3	101	4709832	LIKT01000006	95611	97806	+	fig|1225647.3.peg.1492	Helicase PriA essential for oriC/DnaA-independent DNA replication
1225647.3	101	4709832	LIKT01000001	95722	97179	-	fig|1225647.3.peg.99	Chromosomal replication initiator protein DnaA
1358423.3	122	4566318	JNFF01000122	34108	36588	+	fig|1358423.3.peg.4278	Helicase PriA essential for oriC/DnaA-independent DNA replication
1358423.3	122	4566318	JNFF01000013	42755	44185	-	fig|1358423.3.peg.314	Chromosomal replication initiator protein DnaA
1358423.3	122	4566318	JNFF01000019	154065	155501	-	fig|1358423.3.peg.719	Chromosomal replication initiator protein DnaA
1358423.3	122	4566318	JNFF01000035	6580	8010	-	fig|1358423.3.peg.1438	Chromosomal replication initiator protein DnaA
1261130.3	28	2123239	AOBV01000010	84913	86211	-	fig|1261130.3.peg.1649	Chromosomal replication initiator protein DnaA
1261130.3	28	2123239	AOBV01000006	194073	196235	-	fig|1261130.3.peg.972	Helicase PriA essential for oriC/DnaA-independent DNA replication
1262782.3	108	2681921	FR881845	13753	15993	+	fig|1262782.3.peg.418	Helicase PriA essential for oriC/DnaA-independent DNA replication
1262782.3	108	2681921	FR881910	9386	10759	-	fig|1262782.3.peg.2553	Chromosomal replication initiator protein DnaA
1267001.5	1	846495	CP011096	57	1427	+	fig|1267001.5.peg.1	Chromosomal replication initiator protein DnaA
1408454.3	23	739184	JNJX01000002	43889	45226	+	fig|1408454.3.peg.156	Chromosomal replication initiator protein DnaA
144183.3	24	2345615	LXGG01000003	59902	61479	+	fig|144183.3.peg.489	Chromosomal replication initiator protein DnaA
144183.3	24	2345615	LXGG01000001	115950	118013	-	fig|144183.3.peg.114	Helicase PriA essential for oriC/DnaA-independent DNA replication
1473546.3	105	2633009	JPUW01000009	8518	9855	-	fig|1473546.3.peg.1000	Chromosomal replication initiator protein DnaA
1473546.3	105	2633009	JPUW01000001	56795	59170	+	fig|1473546.3.peg.56	Helicase PriA essential for oriC/DnaA-independent DNA replication
1481914.3	260	4713951	BBRZ01000001	37112	38386	+	fig|1481914.3.peg.48	DnaA inactivator Hda (shorter homolog of DnaA)
1481914.3	260	4713951	BBRZ01000006	80112	80435	-	fig|1481914.3.peg.801	Helicase PriA essential for oriC/DnaA-independent DNA replication
1481914.3	260	4713951	BBRZ01000008	22458	22943	-	fig|1481914.3.peg.950	Chromosomal replication initiator protein DnaA
1481914.3	260	4713951	BBRZ01000008	23086	23829	-	fig|1481914.3.peg.951	Chromosomal replication initiator protein DnaA
1481914.3	260	4713951	BBRZ01000006	80389	80691	-	fig|1481914.3.peg.802	Helicase PriA essential for oriC/DnaA-independent DNA replication
1481914.3	260	4713951	BBRZ01000002	12605	13195	-	fig|1481914.3.peg.248	DnaA initiator-associating protein DiaA
1481914.3	260	4713951	BBRZ01000006	80736	82310	-	fig|1481914.3.peg.803	Helicase PriA essential for oriC/DnaA-independent DNA replication
1501230.3	100	8033195	JNVM01000023	39099	41603	+	fig|1501230.3.peg.5315	Helicase PriA essential for oriC/DnaA-independent DNA replication
1501230.3	100	8033195	JNVM01000041	9880	11250	-	fig|1501230.3.peg.6497	Chromosomal replication initiator protein DnaA
1304.173	1	2188923	CP009913	1632894	1635290	-	fig|1304.173.peg.1442	Helicase PriA essential for oriC/DnaA-independent DNA replication
1304.173	1	2188923	CP009913	104	1468	+	fig|1304.173.peg.1	Chromosomal replication initiator protein DnaA
1313421.4	185	7367602	JHBV01000042	128482	130989	-	fig|1313421.4.peg.4654	Helicase PriA essential for oriC/DnaA-independent DNA replication
1313421.4	185	7367602	JHBV01000030	260863	262272	-	fig|1313421.4.peg.3155	Chromosomal replication initiator protein DnaA
1333848.3	2	5371331	CP007557	4906041	4906766	-	fig|1333848.3.peg.4709	DnaA inactivator Hda (shorter homolog of DnaA)
1333848.3	2	5371331	CP007557	1352921	1354324	-	fig|1333848.3.peg.1322	Chromosomal replication initiator protein DnaA
1333848.3	2	5371331	CP007557	606217	606807	+	fig|1333848.3.peg.595	DnaA initiator-associating protein DiaA
1333848.3	2	5371331	CP007557	1492763	1494961	-	fig|1333848.3.peg.1459	Helicase PriA essential for oriC/DnaA-independent DNA replication
1736413.3	20	4386361	LMSR01000008	10121	11056	-	fig|1736413.3.peg.1066	Chromosomal replication initiator protein DnaA
1736413.3	20	4386361	LMSR01000020	331178	333229	+	fig|1736413.3.peg.4211	Helicase PriA essential for oriC/DnaA-independent DNA replication
